1	110	842
2	60	798
3	170	777
4	118	861
5	157	894
6	127	975
7	177	1043
8	247	865
9	176	718
10	217	692
11	95	1155
12	236	1018
13	201	2036
14	160	1950
15	223	2137
16	304	1963
17	204	1272
18	153	1389
19	302	1307
20	210	1729
21	188	1652
22	251	1858
23	302	1714
24	251	579
25	259	715
26	195	2184
27	266	2152
28	225	2338
29	220	2452
30	286	2318
31	235	1440
32	280	1563
33	283	901
34	355	1130
35	279	1870
36	361	644
37	352	1809
38	411	1575
39	343	907
40	296	2543
41	388	2408
42	442	2568
43	377	1291
44	396	1987
45	456	770
46	409	1056
47	361	1747
48	502	1892
49	394	1272
50	360	2375
51	423	2261
52	388	585
53	443	1677
54	368	498
55	509	419
56	430	1437
57	476	597
58	429	2423
59	520	1286
60	521	1021
61	445	1607
62	556	2357
63	476	2492
64	532	2657
65	503	1717
66	519	1575
67	450	2157
68	547	2082
69	468	2213
70	475	778
71	595	2311
72	493	849
73	549	718
74	614	563
75	589	2469
76	486	1969
77	569	1835
78	550	1400
79	560	1240
80	600	1109
81	690	2098
82	672	721
83	591	1836
84	653	1779
85	735	2336
86	679	1101
87	717	614
88	624	1562
89	676	1469
90	682	1665
91	652	1422
92	747	1365
93	778	1757
94	766	1492
95	792	971
96	720	1191
97	775	1676
98	742	2037
99	700	2156
100	790	546
101	736	653
102	709	1225
103	837	1193
104	734	2495
105	758	2457
106	758	2582
107	771	2293
108	811	672
109	889	2066
110	792	1387
111	863	2591
112	803	1428
113	830	1597
114	866	2276
115	833	823
116	895	1061
117	843	1341
118	887	560
119	825	718
120	962	1581
121	949	845
122	923	1122
123	914	1381
124	955	2525
125	902	2215
126	978	2394
127	933	526
128	921	1943
129	896	1414
130	1005	2199
131	953	1373
132	1002	1141
133	947	448
134	1054	525
135	1014	1269
136	1072	1461
137	992	2600
138	960	1881
139	982	1879
140	1015	1670
141	1040	2350
142	1036	1803
143	1065	1976
144	1025	1099
145	1041	1203
146	1000	2088
147	1036	2265
148	1119	1649
149	1164	1806
150	1039	990
151	1188	1059
152	1114	2380
153	1110	1217
154	1196	2000
155	1180	1460
156	1100	446
157	1166	432
158	1203	2316
159	1205	2507
160	1199	1578
161	1226	1718
162	1222	1409
163	1250	1617
164	1236	2198
165	1288	2343
166	1310	2407
167	1213	1292
168	1247	1257
169	1220	1800
170	1287	1866
171	1240	1704
172	1255	2124
173	1327	2271
174	1352	1738
175	1324	1250
176	1358	1547
177	1263	1987
178	1302	2019
179	1276	472
180	1325	412
181	1300	507
182	1362	1850
183	1412	1940
184	1396	2432
185	1410	1153
186	1370	1325
187	1445	2207
188	1364	1462
189	1440	1598
190	1347	1043
191	1457	1148
192	1412	1412
193	1483	1449
194	1540	1933
195	1423	624
196	1413	691
197	1504	553
198	1440	734
199	1530	740
200	1469	2086
201	1502	2227
202	1480	1699
203	1485	1703
204	1528	1813
205	1567	1678
206	1552	2183
207	1530	2282
208	1653	569
209	1511	2402
210	1525	2416
211	1613	2551
212	1584	2389
213	1548	1941
214	1554	2062
215	1632	1936
216	1579	2086
217	1699	2254
218	1689	2039
219	1602	798
220	1686	703
221	1598	857
222	1599	2608
223	1736	2600
224	1631	1462
225	1680	1382
226	1664	1568
227	1683	1890
228	1643	983
229	1718	1011
230	1645	1619
231	1750	1766
232	1813	1586
233	1730	2055
234	1697	2361
235	1747	2502
236	1756	2197
237	1711	597
238	1831	524
239	1835	927
240	1745	1126
241	1791	2544
242	1864	1775
243	1764	1344
244	1797	1247
245	1871	1443
246	1768	1165
247	1876	1144
248	1864	2464
249	1883	1224
250	1819	1615
251	1892	1484
252	1824	2203
253	1848	2153
254	1853	2278
255	1891	864
256	1867	990
257	1945	2094
258	1896	1797
259	1981	1284
260	1996	1453
261	1873	1903
262	1999	1809
263	1924	2332
264	1943	2422
265	2069	2256
266	2003	2492
267	2022	2126
